x,y,z
-0.6438,-1.0278,0.3406
-0.6411,-1.063,0.3149
-0.5549,-1.0376,0.3049
-0.5061,-0.9907,0.2317
-0.4426,-0.9448,0.1929
-0.3889,-0.9485,0.1292
-0.2974,-0.9949,0.0474
-0.155,-1.0481,-0.0315
-0.1006,-0.9751,-0.1252
-0.0989,-0.9314,-0.0847
-0.0923,-0.9836,-0.0439
-0.0557,-1.1506,-0.0122
-0.1504,-1.1824,0.0806
-0.3225,-0.9626,0.3186
-0.3088,-1.1245,0.4634
-0.3257,-1.0996,0.4141
-0.3801,-0.9062,0.5251
-0.4829,-0.7456,0.5054
-0.5232,-0.6936,0.4983
-0.5596,-0.8467,0.5044
-0.5769,-0.8662,0.4983
-0.4727,-0.9382,0.4927
-0.4407,-1.0635,0.4109
-0.3809,-1.3342,0.3472
-0.4019,-1.3862,0.1829
-0.3254,-1.4443,0.0183
-0.2378,-1.4275,-0.1399
-0.1743,-1.2129,-0.1665
-0.0906,-0.8918,-0.1526
-0.0125,-0.7876,-0.1252
0.0723,-0.8433,-0.1487
-0.0208,-0.9785,-0.1089
-0.1624,-1.0715,0.0544
-0.292,-1.1941,0.2039
-0.345,-1.2947,0.1584
-0.4565,-1.2322,0.3132
-0.5703,-1.2842,0.5032
-0.4912,-1.2058,0.51
-0.3674,-0.9407,0.4878
-0.4194,-0.7627,0.4392
-0.4226,-0.6924,0.4338
-0.4387,-0.7046,0.3655
-0.4858,-0.7715,0.3389
-0.4124,-0.8589,0.3186
-0.4143,-0.9197,0.27
-0.3325,-0.854,0.2505
-0.3804,-1.2009,0.291
-0.5613,-1.9553,0.2026
-0.3789,-1.6177,-0.0195
-0.2109,-1.1719,0.0508
-0.2141,-0.8865,0.1345
-0.2766,-0.7183,0.0356
-0.2002,-0.7734,-0.0879
-0.0803,-0.7981,-0.1057
-0.1311,-0.8091,-0.0806
-0.2312,-0.9656,0.0261
-0.3098,-1.1201,0.0432
-0.3909,-1.2993,0.1204
-0.3962,-1.4634,0.1509
-0.4338,-1.4902,0.2695
-0.4663,-1.1116,0.5237
-0.6021,-0.9302,0.5684
-0.5525,-0.7979,0.4058
-0.4546,-0.7244,0.4954
-0.6277,-0.7317,0.4604
-0.6511,-0.77,0.4541
-0.5444,-0.8306,0.3896
-0.6875,-0.9585,0.4192
-0.5583,-1.4219,0.4429
-0.5188,-1.7986,0.2683
-0.3513,-1.7522,0.0576
-0.1824,-1.6511,-0.0129
-0.1804,-1.3191,-0.0166
-0.0889,-0.9209,-0.2078
-0.0659,-0.7832,-0.2039
-0.0107,-0.7236,-0.113
-0.0691,-0.7834,-0.1167
-0.1672,-0.8557,-0.0303
-0.2771,-1.0386,0.0745
-0.3372,-1.2483,0.1814
-0.3999,-1.6389,0.1809
-0.4619,-1.4451,0.3076
-0.5015,-1.344,0.5696
-0.6675,-1.0891,0.6145
-0.55,-0.9341,0.5144
-0.5144,-0.8362,0.5522
-0.5806,-0.7725,0.5217
-0.6387,-0.7207,0.5339
-0.6328,-0.7822,0.4661
-0.5879,-0.9399,0.4797
-0.5354,-1.4807,0.4592
-0.509,-1.7729,0.207
-0.3191,-1.5994,0.0427
-0.2429,-1.5791,-0.0315
-0.1895,-1.4065,-0.053
0.0476,-1.0371,-0.2917
0.0601,-0.7405,-0.1948
0.0923,-0.6482,-0.1853
-0.0432,-0.8433,-0.1487
-0.1423,-0.9814,-0.0264
-0.2117,-1.2537,0.0281
-0.2671,-1.5159,0.1099
-0.4021,-1.4529,0.2637
-0.6091,-1.512,0.675
-0.7881,-1.2339,0.6204
-0.554,-1.0325,0.6262
-0.5933,-0.8342,0.5898
-0.6096,-0.6667,0.5664
-0.571,-0.6606,0.4897
-0.574,-0.7908,0.4575
-0.5669,-1.0029,0.4331
-0.5442,-1.4714,0.4116
-0.4978,-1.6797,0.1843
-0.3242,-1.4873,0.0627
-0.2427,-1.4941,-0.0085
-0.1567,-1.3713,-0.092
-0.1057,-0.9504,-0.1907
-0.0847,-0.6853,-0.1833
-0.0825,-0.6399,-0.1331
-0.1389,-0.72,-0.0791
-0.21,-0.8625,-0.0278
-0.2786,-1.1462,0.1038
-0.2905,-1.4414,0.1536
-0.3259,-1.4248,0.1638
-0.4868,-1.2429,0.4648
-0.6279,-1.1787,0.6892
-0.4907,-1.1294,0.636
-0.301,-0.9612,0.604
-0.5073,-0.7651,0.4993
-0.5295,-0.6614,0.4902
-0.512,-0.7415,0.4868
-0.5266,-0.8552,0.415
-0.4561,-1.0405,0.437
-0.4438,-1.4043,0.4138
-0.4314,-1.4473,0.2734
-0.3447,-1.3027,0.1599
-0.2754,-1.4114,0.0222
-0.1926,-1.4136,-0.0425
-0.1047,-0.9475,-0.106
-0.1399,-0.676,-0.1072
-0.0725,-0.7034,-0.0742
-0.0818,-0.7673,-0.0525
-0.1689,-0.8894,0.0352
-0.2725,-1.1987,0.113
-0.3113,-1.4038,0.1624
-0.4304,-1.2183,0.302
-0.5942,-1.3289,0.7046
-0.592,-1.1355,0.5671
-0.4543,-0.9448,0.5513
-0.5232,-0.7964,0.5144
-0.5405,-0.7014,0.4836
-0.5229,-0.7161,0.418
-0.5054,-0.8362,0.427
-0.5186,-0.9187,0.3667
-0.5042,-1.1809,0.3882
-0.4731,-1.4626,0.3096
-0.407,-1.3086,0.2043
-0.2974,-1.3113,0.0991
-0.252,-1.4495,0.0007
-0.2749,-1.136,-0.054
-0.2183,-0.8186,-0.0779
-0.1724,-0.738,-0.1143
-0.1394,-0.7292,-0.071
-0.1743,-0.7302,-0.041
-0.2468,-0.8523,0.0403
-0.3303,-1.0791,0.1218
-0.3577,-1.2524,0.1382
-0.4194,-1.187,0.26
-0.4895,-1.2939,0.5522
-0.6887,-1.2432,0.6243
-0.512,-1.0203,0.5237
-0.4956,-0.843,0.5154
-0.5422,-0.718,0.446
-0.5049,-0.74,0.4377
-0.5103,-0.8486,0.4207
-0.5085,-0.9907,0.3667
-0.4587,-1.1506,0.3584
-0.4114,-1.3418,0.3337
-0.3997,-1.2715,0.1672
-0.2859,-1.3083,0.0601
-0.259,-1.3083,-0.0215
-0.2554,-1.1069,-0.0732
-0.2329,-0.7705,-0.1182
-0.1714,-0.6699,-0.1145
-0.147,-0.6963,-0.0764
-0.1951,-0.8416,-0.0405
-0.3159,-1.0422,0.0117
-0.3577,-1.2744,0.1201
-0.3774,-1.3005,0.1733
-0.4548,-1.072,0.3394
-0.5303,-1.1345,0.6206
-0.4519,-1.103,0.5562
-0.323,-0.9468,0.5278
-0.4282,-0.7844,0.5051
-0.47,-0.6665,0.4678
-0.4692,-0.7524,0.4941
-0.4492,-0.8643,0.4243
-0.4685,-1.0266,0.3945
-0.4778,-1.2705,0.3572
-0.4077,-1.155,0.24
-0.3564,-1.3743,0.0608
-0.241,-1.5,-0.0181
-0.1611,-1.2534,-0.094
-0.1548,-0.8538,-0.1204
-0.1392,-0.7375,-0.1375
-0.0334,-0.793,-0.1731
-0.113,-0.9214,-0.1323
-0.2427,-1.0081,-0.001
-0.3325,-1.1516,0.1287
-0.3625,-1.3271,0.1812
-0.3708,-1.2456,0.2192
-0.4856,-0.9792,0.4673
-0.5742,-1.075,0.7339
-0.4482,-0.9946,0.5247
-0.3433,-0.8611,0.5325
-0.478,-0.7188,0.4746
-0.4824,-0.7063,0.4448
-0.4651,-0.7893,0.4133
-0.4751,-0.9026,0.343
-0.458,-1.1655,0.3064
-0.4146,-1.3027,0.3042
-0.4216,-1.2507,0.2183
-0.3269,-1.321,0.1121
-0.2559,-1.4011,-0.0222
-0.2085,-1.1418,-0.0374
-0.2244,-0.7925,-0.0764
-0.2153,-0.6404,-0.0403
-0.2031,-0.6914,-0.04
-0.2473,-0.8313,-0.0583
-0.2952,-0.9265,0.0574
-0.396,-1.0754,0.1321
-0.4758,-1.2681,0.1812
-0.3813,-1.333,0.2141
-0.2356,-1.0688,0.3752
-0.3259,-1.0774,0.6196
-0.3359,-1.0793,0.6951
-0.2954,-0.9258,0.5767
-0.2461,-0.769,0.5647
-0.3706,-0.6902,0.4954
-0.4282,-0.7415,0.4836
